Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
24/12/2006,02:32:00,2.426,0.078,244.960,9.800,0.000,0.000,0.000
24/12/2006,15:37:00,2.238,0.266,245.670,9.200,0.000,18.000,0.000
24/12/2006,16:21:00,1.766,0.160,246.100,7.200,0.000,1.000,19.000
24/12/2006,18:24:00,0.502,0.124,241.690,2.000,0.000,0.000,0.000
25/12/2006,00:01:00,0.584,0.258,243.260,2.600,0.000,1.000,0.000
25/12/2006,06:40:00,0.288,0.108,246.480,1.200,0.000,0.000,0.000
25/12/2006,08:58:00,1.842,0.090,243.690,7.600,0.000,0.000,0.000
25/12/2006,12:31:00,3.652,0.202,238.270,15.200,38.000,0.000,0.000
25/12/2006,12:47:00,3.81,0.344,240.580,15.800,40.000,0.000,0.000
25/12/2006,15:22:00,1.804,0.118,247.500,7.200,0.000,0.000,19.000
25/12/2006,17:11:00,1.486,0.330,240.380,6.200,0.000,0.000,0.000
25/12/2006,20:51:00,2.55,0.260,242.850,10.400,0.000,0.000,18.000
25/12/2006,20:56:00,2.42,0.116,241.100,10.000,0.000,0.000,18.000
25/12/2006,22:59:00,3.056,0.144,240.390,12.600,0.000,0.000,0.000
26/12/2006,01:43:00,2.43,0.122,243.060,10.000,0.000,2.000,0.000
26/12/2006,07:39:00,2.724,0.126,239.820,11.400,0.000,0.000,0.000
26/12/2006,11:38:00,2.42,0.106,239.510,10.000,0.000,0.000,18.000
26/12/2006,13:09:00,3.516,0.320,237.060,15.200,0.000,0.000,17.000
26/12/2006,14:48:00,3.164,0.154,244.090,13.000,0.000,17.000,18.000
26/12/2006,16:39:00,3.596,0.468,240.790,15.200,0.000,0.000,18.000
26/12/2006,22:42:00,0.814,0.084,246.040,3.600,0.000,2.000,0.000
26/12/2006,23:40:00,0.418,0.000,245.840,2.000,0.000,0.000,0.000
27/12/2006,11:07:00,1.332,0.092,239.690,5.600,0.000,0.000,17.000
27/12/2006,23:03:00,0.448,0.198,245.620,2.000,0.000,0.000,0.000
27/12/2006,23:04:00,0.448,0.200,245.990,2.000,0.000,0.000,0.000
27/12/2006,23:56:00,0.234,0.058,246.710,1.000,0.000,0.000,0.000
28/12/2006,00:12:00,1.518,0.286,244.710,6.200,0.000,0.000,18.000
28/12/2006,08:14:00,2.424,0.204,239.310,10.200,1.000,0.000,18.000
28/12/2006,08:39:00,3.586,0.000,239.160,15.000,38.000,0.000,17.000
28/12/2006,08:49:00,1.442,0.142,241.470,6.000,1.000,0.000,18.000
28/12/2006,11:19:00,0.334,0.190,244.360,1.600,0.000,0.000,0.000
28/12/2006,12:38:00,0.226,0.046,243.470,1.000,0.000,0.000,0.000
28/12/2006,15:25:00,1.598,0.158,243.860,6.600,0.000,0.000,18.000
28/12/2006,22:40:00,3.834,0.118,244.820,15.600,0.000,38.000,0.000
28/12/2006,23:04:00,2.092,0.096,246.690,8.600,0.000,20.000,0.000
29/12/2006,03:33:00,2.398,0.000,246.180,9.600,0.000,0.000,0.000
29/12/2006,06:23:00,2.432,0.000,246.760,9.800,0.000,0.000,0.000
29/12/2006,13:47:00,1.392,0.158,243.250,5.600,0.000,0.000,18.000
29/12/2006,19:58:00,2.5,0.280,234.240,10.600,0.000,0.000,17.000
30/12/2006,00:14:00,0.216,0.000,244.370,1.000,0.000,0.000,0.000
30/12/2006,02:08:00,0.22,0.046,246.030,1.000,0.000,0.000,0.000
30/12/2006,10:17:00,7.132,0.360,232.860,30.600,36.000,36.000,17.000
30/12/2006,17:26:00,2.754,0.542,233.700,12.000,0.000,1.000,17.000
30/12/2006,19:11:00,2.94,0.378,235.840,12.400,1.000,0.000,17.000
31/12/2006,02:13:00,1.512,0.000,246.670,7.400,0.000,0.000,0.000
31/12/2006,08:02:00,5.01,0.294,239.340,20.800,0.000,0.000,17.000
31/12/2006,21:10:00,2.356,0.000,235.310,10.000,0.000,0.000,0.000
31/12/2006,22:54:00,3.49,0.000,237.830,14.600,0.000,0.000,18.000
31/12/2006,23:13:00,3.538,0.104,237.520,14.800,0.000,0.000,17.000
1/1/2007,00:19:00,2.46,0.000,240.830,10.200,0.000,0.000,0.000
1/1/2007,01:17:00,2.478,0.000,241.790,10.200,0.000,0.000,0.000
1/1/2007,07:15:00,2.488,0.116,240.780,10.200,0.000,0.000,0.000
1/1/2007,07:38:00,2.44,0.110,240.010,10.000,0.000,1.000,0.000
1/1/2007,08:36:00,2.492,0.130,241.800,10.200,0.000,0.000,0.000
1/1/2007,09:31:00,3.5,0.086,239.740,14.600,0.000,0.000,18.000
1/1/2007,12:37:00,2.612,0.114,237.970,11.000,0.000,1.000,0.000
1/1/2007,13:11:00,2.532,0.000,237.900,10.600,0.000,0.000,0.000
1/1/2007,13:54:00,0.214,0.000,240.690,1.000,0.000,0.000,0.000
1/1/2007,19:22:00,0.358,0.000,237.330,1.400,0.000,0.000,0.000
1/1/2007,21:00:00,0.47,0.142,238.810,2.000,0.000,0.000,0.000
2/1/2007,02:50:00,0.388,0.000,247.280,1.600,0.000,0.000,0.000
2/1/2007,05:11:00,1.448,0.000,241.520,6.000,0.000,0.000,18.000
2/1/2007,14:39:00,0.486,0.184,246.500,2.000,0.000,0.000,0.000
2/1/2007,17:33:00,2.246,0.644,238.390,10.000,0.000,0.000,0.000
2/1/2007,23:25:00,0.544,0.098,245.250,2.400,0.000,0.000,0.000
3/1/2007,00:33:00,1.564,0.000,244.560,6.400,0.000,0.000,0.000
3/1/2007,07:14:00,0.334,0.172,242.880,1.600,0.000,0.000,0.000
3/1/2007,07:34:00,0.318,0.144,242.780,1.400,0.000,0.000,0.000
3/1/2007,07:54:00,0.334,0.164,241.220,1.600,0.000,0.000,0.000
3/1/2007,11:47:00,1.428,0.000,241.570,5.800,0.000,0.000,18.000
3/1/2007,12:18:00,1.398,0.146,241.280,5.800,0.000,0.000,18.000
3/1/2007,17:37:00,0.406,0.276,239.080,2.000,0.000,0.000,0.000
3/1/2007,17:49:00,0.244,0.046,239.640,1.000,0.000,0.000,0.000
3/1/2007,18:58:00,0.41,0.288,240.690,2.000,0.000,0.000,0.000
4/1/2007,19:10:00,2.556,0.224,235.400,10.800,0.000,0.000,17.000
4/1/2007,21:48:00,0.326,0.000,239.630,1.400,0.000,0.000,0.000
5/1/2007,02:04:00,2.422,0.158,242.460,10.000,0.000,0.000,0.000
5/1/2007,04:01:00,2.438,0.162,243.170,10.000,0.000,0.000,0.000
5/1/2007,12:06:00,0.394,0.000,239.060,1.800,0.000,0.000,0.000
5/1/2007,16:05:00,0.396,0.058,244.900,1.800,0.000,0.000,0.000
5/1/2007,17:52:00,2.354,0.142,237.840,9.800,0.000,0.000,17.000
5/1/2007,20:12:00,0.992,0.108,239.020,4.200,1.000,0.000,0.000
6/1/2007,05:01:00,0.43,0.302,242.220,2.200,0.000,1.000,0.000
6/1/2007,06:43:00,0.244,0.000,241.590,1.000,0.000,0.000,0.000
6/1/2007,08:01:00,0.236,0.000,240.130,1.000,0.000,0.000,0.000
6/1/2007,08:23:00,0.334,0.162,239.520,1.600,0.000,0.000,0.000
6/1/2007,10:40:00,1.692,0.000,236.070,7.200,0.000,0.000,0.000
6/1/2007,21:36:00,0.962,0.166,241.620,4.200,0.000,2.000,0.000
6/1/2007,21:50:00,1.056,0.290,240.990,4.800,0.000,2.000,0.000
7/1/2007,00:19:00,1.324,0.000,242.290,5.400,0.000,0.000,18.000
7/1/2007,04:41:00,0.438,0.332,246.150,2.200,0.000,1.000,0.000
7/1/2007,06:52:00,0.45,0.336,246.230,2.400,0.000,0.000,0.000
7/1/2007,07:17:00,0.318,0.170,243.090,1.400,0.000,2.000,0.000
7/1/2007,09:20:00,0.328,0.176,243.900,1.600,0.000,1.000,0.000
7/1/2007,09:34:00,0.416,0.306,242.710,2.000,0.000,2.000,0.000
7/1/2007,11:52:00,0.438,0.248,239.430,2.000,0.000,2.000,0.000
7/1/2007,11:54:00,0.44,0.246,239.290,2.000,0.000,1.000,0.000
7/1/2007,13:27:00,4.916,0.062,234.720,21.800,31.000,29.000,17.000
7/1/2007,13:34:00,3.58,0.060,236.650,15.200,1.000,35.000,18.000
7/1/2007,23:21:00,1.362,0.000,242.080,5.600,0.000,0.000,18.000
7/1/2007,23:56:00,1.44,0.196,243.250,6.000,0.000,1.000,18.000
8/1/2007,00:49:00,1.334,0.000,243.920,5.400,0.000,1.000,19.000
8/1/2007,01:04:00,1.426,0.152,243.540,5.800,0.000,0.000,18.000
8/1/2007,08:34:00,1.988,0.000,238.100,8.200,0.000,0.000,18.000
8/1/2007,08:54:00,2.33,0.106,236.720,9.800,0.000,0.000,17.000
9/1/2007,08:42:00,1.542,0.286,241.540,6.400,2.000,2.000,18.000
9/1/2007,11:03:00,1.32,0.116,238.160,5.400,0.000,2.000,17.000
9/1/2007,12:29:00,0.21,0.000,241.420,1.000,0.000,0.000,0.000
9/1/2007,19:19:00,1.208,0.230,239.930,5.000,0.000,0.000,0.000
10/1/2007,01:01:00,1.306,0.000,243.270,5.200,0.000,0.000,18.000
10/1/2007,04:17:00,0.26,0.066,244.430,1.200,0.000,1.000,0.000
10/1/2007,04:24:00,0.402,0.298,244.840,2.000,0.000,1.000,0.000
10/1/2007,05:35:00,0.326,0.156,241.190,1.600,0.000,1.000,0.000
10/1/2007,12:12:00,1.616,0.174,241.400,6.600,0.000,5.000,18.000
10/1/2007,13:54:00,0.3,0.104,240.870,1.400,0.000,0.000,0.000
10/1/2007,17:18:00,1.304,0.190,240.630,5.400,0.000,1.000,0.000
10/1/2007,22:32:00,0.946,0.386,243.560,4.200,0.000,1.000,0.000
10/1/2007,23:49:00,0.274,0.082,246.440,1.200,0.000,0.000,0.000
11/1/2007,00:47:00,0.456,0.394,242.520,2.400,0.000,2.000,0.000
11/1/2007,07:17:00,2.676,0.298,240.490,11.200,0.000,2.000,18.000
11/1/2007,16:18:00,1.738,0.136,242.280,7.200,0.000,0.000,17.000
11/1/2007,18:06:00,4.978,0.536,235.240,21.400,0.000,0.000,17.000
11/1/2007,21:47:00,2.708,0.000,237.390,11.400,0.000,1.000,17.000
11/1/2007,21:57:00,2.418,0.148,240.370,10.000,0.000,0.000,17.000
12/1/2007,00:14:00,1.078,0.230,241.410,4.600,0.000,0.000,0.000
12/1/2007,00:45:00,0.332,0.164,241.880,1.600,0.000,0.000,0.000
12/1/2007,02:16:00,0.33,0.176,244.160,1.600,0.000,1.000,0.000
12/1/2007,03:20:00,0.318,0.164,244.360,1.400,0.000,2.000,0.000
12/1/2007,15:09:00,0.22,0.000,245.910,1.000,0.000,0.000,0.000
12/1/2007,15:36:00,0.392,0.298,246.650,2.000,0.000,0.000,0.000
12/1/2007,16:13:00,0.32,0.180,245.250,1.400,0.000,0.000,0.000
12/1/2007,16:16:00,0.404,0.314,246.160,2.000,0.000,1.000,0.000
12/1/2007,18:38:00,2.374,0.218,238.690,10.000,0.000,2.000,17.000
12/1/2007,23:53:00,0.536,0.000,241.050,2.200,0.000,0.000,0.000
13/1/2007,03:08:00,0.322,0.164,243.470,1.400,0.000,0.000,0.000
13/1/2007,05:39:00,0.216,0.000,243.570,1.000,0.000,0.000,0.000
13/1/2007,14:00:00,0.658,0.136,242.660,2.800,0.000,0.000,0.000
13/1/2007,19:05:00,2.352,0.546,237.320,10.000,0.000,0.000,0.000
13/1/2007,20:47:00,3.556,0.346,235.440,15.000,1.000,0.000,17.000
13/1/2007,20:49:00,3.54,0.334,235.220,15.000,1.000,0.000,17.000
13/1/2007,23:09:00,5.608,0.226,233.500,24.000,37.000,0.000,17.000
14/1/2007,02:02:00,5.462,0.096,239.940,22.800,16.000,0.000,18.000
14/1/2007,04:21:00,2.35,0.080,240.020,9.800,0.000,0.000,0.000
14/1/2007,13:43:00,1.53,0.162,240.120,6.400,0.000,0.000,17.000
14/1/2007,14:54:00,1.502,0.120,242.620,6.200,0.000,0.000,18.000
14/1/2007,15:54:00,1.47,0.134,242.860,6.000,1.000,0.000,18.000
14/1/2007,19:16:00,3.562,0.342,234.430,15.200,0.000,1.000,17.000
14/1/2007,20:34:00,3.188,0.280,233.760,13.600,0.000,1.000,17.000
15/1/2007,03:02:00,0.372,0.244,243.970,1.800,0.000,1.000,0.000
15/1/2007,04:46:00,0.298,0.144,245.830,1.400,0.000,1.000,0.000
15/1/2007,05:52:00,0.214,0.000,244.930,0.800,0.000,0.000,0.000
15/1/2007,07:21:00,1.906,0.150,241.350,7.800,0.000,0.000,18.000
15/1/2007,09:32:00,1.494,0.220,237.920,6.200,1.000,0.000,17.000
15/1/2007,10:31:00,1.25,0.000,238.530,5.200,0.000,0.000,18.000
15/1/2007,11:21:00,1.368,0.120,240.350,5.600,0.000,0.000,18.000
15/1/2007,11:49:00,1.412,0.092,240.710,5.800,0.000,0.000,18.000
15/1/2007,12:31:00,1.504,0.226,240.650,6.200,0.000,0.000,17.000
15/1/2007,16:10:00,1.53,0.000,246.060,6.200,0.000,0.000,19.000
15/1/2007,19:53:00,3.59,0.178,234.340,15.400,0.000,2.000,17.000
16/1/2007,00:21:00,0.332,0.144,243.830,1.400,0.000,0.000,0.000
16/1/2007,02:32:00,0.218,0.000,244.270,1.000,0.000,0.000,0.000
16/1/2007,06:53:00,1.004,0.244,244.520,4.200,0.000,0.000,0.000
16/1/2007,07:24:00,2.17,0.204,239.580,9.000,0.000,0.000,18.000
16/1/2007,13:42:00,0.912,0.278,242.850,4.000,0.000,1.000,0.000
16/1/2007,16:25:00,1.732,0.114,244.120,7.000,0.000,0.000,18.000
16/1/2007,20:57:00,1.564,0.156,237.400,6.800,0.000,0.000,0.000
16/1/2007,21:38:00,1.288,0.102,241.040,5.400,0.000,0.000,0.000
16/1/2007,23:56:00,0.288,0.118,244.530,1.200,0.000,0.000,0.000
17/1/2007,01:44:00,0.208,0.000,241.510,0.800,0.000,0.000,0.000
17/1/2007,04:10:00,0.214,0.000,244.140,0.800,0.000,0.000,0.000
17/1/2007,07:55:00,1.996,0.046,239.230,8.200,0.000,0.000,18.000
17/1/2007,08:54:00,4.498,0.338,239.490,18.800,39.000,2.000,17.000
17/1/2007,13:22:00,1.612,0.370,243.940,6.800,0.000,2.000,18.000
17/1/2007,15:58:00,2.292,0.190,244.180,9.400,0.000,5.000,18.000
17/1/2007,16:43:00,1.45,0.128,245.110,5.800,0.000,1.000,18.000
17/1/2007,16:57:00,1.608,0.104,243.430,6.600,0.000,4.000,18.000
18/1/2007,02:18:00,0.292,0.112,243.830,1.200,0.000,0.000,0.000
18/1/2007,04:17:00,0.216,0.000,244.490,1.000,0.000,0.000,0.000
18/1/2007,07:27:00,1.582,0.000,237.890,6.600,0.000,0.000,18.000
19/1/2007,08:55:00,1.468,0.212,236.600,6.200,1.000,0.000,17.000
19/1/2007,15:04:00,0.316,0.104,246.510,1.400,0.000,0.000,0.000
20/1/2007,04:39:00,0.224,0.000,242.780,1.000,0.000,0.000,0.000
20/1/2007,04:44:00,0.224,0.000,242.180,1.000,0.000,0.000,0.000
20/1/2007,08:47:00,1.87,0.428,239.730,8.000,0.000,1.000,0.000
20/1/2007,09:42:00,0.878,0.000,238.390,3.600,0.000,1.000,0.000
20/1/2007,18:17:00,3.48,0.178,231.670,15.000,0.000,1.000,17.000
20/1/2007,19:07:00,5.836,0.318,229.090,25.400,0.000,35.000,16.000
20/1/2007,19:38:00,5.268,0.154,232.160,22.800,0.000,27.000,16.000
20/1/2007,20:27:00,3.366,0.056,235.960,14.200,0.000,0.000,17.000
20/1/2007,23:26:00,0.964,0.094,242.230,4.000,0.000,0.000,0.000
20/1/2007,23:40:00,1.468,0.164,243.820,6.000,0.000,0.000,0.000
21/1/2007,01:43:00,2.516,0.066,239.320,11.200,0.000,0.000,18.000
21/1/2007,05:34:00,1.398,0.212,242.390,7.200,0.000,1.000,0.000
21/1/2007,07:14:00,2.352,0.068,240.390,9.800,0.000,0.000,0.000
21/1/2007,08:27:00,1.966,0.000,239.030,8.800,0.000,0.000,0.000
21/1/2007,11:00:00,1.318,0.000,237.070,5.400,0.000,0.000,17.000
21/1/2007,15:49:00,0.778,0.080,240.610,3.200,0.000,2.000,0.000
22/1/2007,03:19:00,0.404,0.252,245.630,1.800,0.000,0.000,0.000
22/1/2007,04:54:00,0.218,0.000,245.040,1.000,0.000,0.000,0.000
22/1/2007,08:23:00,3.258,0.118,238.990,13.600,0.000,0.000,17.000
22/1/2007,09:31:00,3.844,0.000,236.520,16.200,37.000,0.000,17.000
22/1/2007,14:41:00,1.382,0.064,245.320,5.600,0.000,0.000,18.000
22/1/2007,17:08:00,0.734,0.258,242.510,3.200,0.000,0.000,0.000
22/1/2007,23:06:00,1.708,0.152,245.030,7.000,0.000,1.000,0.000
22/1/2007,23:20:00,1.55,0.000,243.270,6.400,0.000,0.000,0.000
23/1/2007,01:10:00,0.63,0.142,245.140,3.000,0.000,1.000,0.000
23/1/2007,04:49:00,0.392,0.000,245.680,1.800,0.000,0.000,0.000
23/1/2007,05:13:00,0.41,0.000,243.660,2.000,0.000,0.000,0.000
23/1/2007,06:46:00,0.416,0.000,245.930,2.000,0.000,1.000,0.000
23/1/2007,07:30:00,2.436,0.000,239.290,10.200,0.000,0.000,0.000
23/1/2007,08:38:00,1.376,0.000,243.720,5.600,0.000,0.000,18.000
23/1/2007,13:03:00,0.306,0.130,242.740,1.400,0.000,0.000,0.000
23/1/2007,18:52:00,2.194,0.122,241.080,9.000,0.000,0.000,0.000
23/1/2007,20:56:00,3.294,0.066,236.180,14.200,0.000,0.000,18.000
23/1/2007,23:00:00,0.358,0.000,245.420,2.000,0.000,0.000,0.000
24/1/2007,03:02:00,2.31,0.000,241.930,9.400,0.000,0.000,0.000
24/1/2007,07:00:00,2.18,0.000,245.680,9.200,0.000,0.000,0.000
24/1/2007,07:21:00,2.126,0.188,238.590,9.000,0.000,0.000,18.000
24/1/2007,07:39:00,4.492,0.056,237.480,18.800,0.000,0.000,17.000
24/1/2007,08:20:00,4.264,0.046,237.470,17.800,0.000,0.000,17.000
24/1/2007,09:31:00,3.024,0.000,239.230,13.200,1.000,28.000,17.000
24/1/2007,11:42:00,1.706,0.270,238.950,7.200,0.000,2.000,17.000
24/1/2007,12:23:00,4.144,0.456,238.710,17.400,39.000,2.000,17.000
24/1/2007,15:09:00,3.654,0.000,240.970,15.000,38.000,0.000,18.000
24/1/2007,15:16:00,3.684,0.120,239.690,15.200,38.000,0.000,17.000
25/1/2007,02:27:00,0.382,0.248,245.580,1.800,0.000,1.000,0.000
25/1/2007,05:06:00,0.23,0.000,248.540,1.000,0.000,0.000,0.000
25/1/2007,05:43:00,0.218,0.000,245.780,1.000,0.000,0.000,0.000
25/1/2007,10:41:00,0.208,0.000,241.910,0.800,0.000,0.000,0.000
25/1/2007,11:04:00,0.354,0.186,243.290,1.800,0.000,0.000,0.000
25/1/2007,13:52:00,0.33,0.174,245.620,1.600,0.000,0.000,0.000
25/1/2007,17:42:00,1.746,0.144,240.330,7.200,1.000,0.000,18.000
25/1/2007,18:40:00,1.678,0.000,239.700,7.000,1.000,0.000,17.000
25/1/2007,22:10:00,1.28,0.000,242.360,5.200,0.000,0.000,0.000
26/1/2007,03:38:00,0.226,0.000,245.700,1.000,0.000,0.000,0.000
26/1/2007,10:10:00,0.9,0.236,242.580,4.000,0.000,0.000,0.000
26/1/2007,10:16:00,0.624,0.110,239.950,2.800,0.000,0.000,0.000
27/1/2007,13:06:00,1.38,0.094,241.810,5.600,0.000,2.000,18.000
27/1/2007,16:07:00,3.828,0.108,242.870,15.600,39.000,0.000,18.000
27/1/2007,23:21:00,0.612,0.048,246.590,2.600,0.000,0.000,0.000
27/1/2007,23:33:00,2.804,0.096,242.210,11.600,0.000,0.000,0.000
28/1/2007,02:09:00,2.404,0.080,241.770,9.800,0.000,1.000,0.000
28/1/2007,02:27:00,1.124,0.114,242.920,6.200,0.000,0.000,0.000
28/1/2007,07:55:00,0.278,0.000,244.500,1.400,0.000,0.000,0.000
28/1/2007,07:56:00,0.316,0.108,243.560,1.400,0.000,1.000,0.000
28/1/2007,10:12:00,0.728,0.220,239.930,3.200,0.000,1.000,0.000
29/1/2007,05:33:00,1.348,0.000,245.530,5.400,0.000,0.000,18.000
29/1/2007,09:32:00,1.946,0.228,237.590,8.200,0.000,1.000,17.000
29/1/2007,09:44:00,1.846,0.082,237.280,7.800,0.000,0.000,17.000
29/1/2007,10:57:00,1.29,0.000,238.890,5.400,0.000,0.000,17.000
29/1/2007,16:39:00,2.598,0.686,244.520,11.000,0.000,0.000,18.000
29/1/2007,18:17:00,2.12,0.000,235.170,9.000,0.000,0.000,17.000
30/1/2007,02:50:00,0.246,0.000,246.710,1.000,0.000,0.000,0.000
30/1/2007,03:49:00,0.354,0.192,247.030,1.600,0.000,1.000,0.000
30/1/2007,10:34:00,0.33,0.142,241.420,1.400,0.000,0.000,0.000
30/1/2007,10:47:00,0.232,0.000,241.330,1.000,0.000,0.000,0.000
31/1/2007,02:14:00,0.34,0.150,243.190,1.600,0.000,0.000,0.000
31/1/2007,07:56:00,1.904,0.126,237.640,8.000,0.000,1.000,18.000
31/1/2007,10:02:00,1.558,0.000,236.770,6.600,0.000,0.000,18.000
31/1/2007,16:26:00,2.948,0.146,242.830,12.800,0.000,26.000,18.000
31/1/2007,16:29:00,2.258,0.314,243.390,9.400,0.000,14.000,19.000
31/1/2007,16:45:00,1.358,0.000,244.070,5.600,0.000,1.000,18.000
31/1/2007,16:46:00,1.34,0.000,244.220,5.400,0.000,0.000,18.000
31/1/2007,16:59:00,1.338,0.000,243.500,5.400,0.000,0.000,18.000
31/1/2007,22:02:00,3.454,0.222,236.600,14.600,0.000,0.000,17.000
1/2/2007,00:48:00,0.316,0.116,240.930,1.400,0.000,0.000,0.000
1/2/2007,05:01:00,0.3,0.088,241.420,1.200,0.000,0.000,0.000
1/2/2007,10:31:00,1.342,0.086,238.250,5.600,0.000,0.000,17.000
1/2/2007,15:28:00,0.234,0.000,242.180,1.000,0.000,0.000,0.000
1/2/2007,15:50:00,0.324,0.100,244.150,1.600,0.000,0.000,0.000
1/2/2007,18:39:00,2.516,0.100,237.560,10.600,0.000,1.000,18.000
1/2/2007,18:52:00,3.016,0.254,237.020,12.600,0.000,1.000,17.000
1/2/2007,19:52:00,2.648,0.184,234.820,11.200,0.000,0.000,17.000
1/2/2007,20:56:00,1.572,0.176,238.200,6.600,0.000,0.000,17.000
2/2/2007,00:30:00,0.228,0.000,244.560,1.000,0.000,0.000,0.000
2/2/2007,04:30:00,0.222,0.000,241.940,1.000,0.000,0.000,0.000
2/2/2007,09:00:00,1.276,0.000,238.270,5.200,0.000,0.000,18.000
2/2/2007,09:20:00,1.27,0.000,239.120,5.200,0.000,0.000,18.000
2/2/2007,10:33:00,1.752,0.000,236.990,7.400,0.000,0.000,17.000
2/2/2007,14:53:00,0.336,0.144,242.230,1.400,0.000,0.000,0.000
2/2/2007,15:46:00,0.272,0.000,242.430,1.200,0.000,0.000,0.000
2/2/2007,18:23:00,2.074,0.228,239.460,8.800,0.000,0.000,18.000
2/2/2007,19:21:00,1.822,0.000,239.840,7.600,0.000,0.000,17.000
2/2/2007,19:56:00,1.588,0.000,237.080,6.600,0.000,0.000,18.000
2/2/2007,22:46:00,3.926,0.072,239.680,16.200,0.000,0.000,18.000
3/2/2007,00:58:00,3.632,0.054,235.450,15.400,0.000,0.000,17.000
3/2/2007,10:01:00,1.562,0.122,242.000,6.400,0.000,0.000,18.000
3/2/2007,17:19:00,2.242,0.276,239.160,9.400,0.000,1.000,18.000
4/2/2007,00:26:00,5.336,0.204,239.290,22.200,1.000,2.000,17.000
4/2/2007,00:47:00,4.79,0.078,238.960,20.000,0.000,1.000,18.000
4/2/2007,05:00:00,0.988,0.000,242.130,5.800,0.000,0.000,0.000
4/2/2007,08:14:00,2.586,0.340,242.990,10.600,0.000,2.000,0.000
4/2/2007,08:18:00,0.912,0.374,245.420,5.000,0.000,2.000,0.000
4/2/2007,12:35:00,3.844,0.338,236.020,16.200,38.000,0.000,17.000
4/2/2007,13:04:00,2.186,0.308,239.110,10.000,7.000,2.000,17.000
4/2/2007,17:43:00,1.908,0.236,238.640,8.000,0.000,2.000,17.000
4/2/2007,20:12:00,3.612,0.182,235.140,15.400,0.000,1.000,17.000
4/2/2007,23:49:00,0.382,0.120,244.630,1.600,0.000,0.000,0.000
5/2/2007,00:54:00,0.406,0.104,240.690,1.800,0.000,2.000,0.000
5/2/2007,01:07:00,0.392,0.104,240.030,1.800,0.000,1.000,0.000
